linguagem1,tempo1,tamanhoArray,filePath,linguagem2,tempo2,tamanhoArray,filePath,porcentagem
PHP,0.0009284735,1000,random2.txt,Python,0.0017381906,1000,random2.txt,-46.58390742649281
PHP,0.0114111185,10000,random2.txt,Rust,0.0016717454,10000,random2.txt,582.587103275415
PHP,0.0114111185,10000,random2.txt,Python,0.0215052366,10000,random2.txt,-46.937954172520016
PHP,0.1301762581,100000,random2.txt,Rust,0.018569269,100000,random2.txt,601.0306011507507
PHP,0.1301762581,100000,random2.txt,Python,0.2433798075,100000,random2.txt,-46.51312307410712
PHP,0.7020223856,500000,random2.txt,Rust,0.094227778,500000,random2.txt,645.02699787742
PHP,0.7020223856,500000,random2.txt,Python,1.3795440435,500000,random2.txt,-49.11199907623681
PHP,1.4815742254,1000000,random2.txt,Rust,0.1833753958,1000000,random2.txt,707.9460272935918
PHP,1.4815742254,1000000,random2.txt,Python,3.0549328566,1000000,random2.txt,-51.502232783966186
C,1.95e-05,100,random3.txt,Rust,1.49098e-05,100,random3.txt,30.78646259507169
C,1.95e-05,100,random3.txt,Python,0.0001458645,100,random3.txt,-86.63142848328415
C,0.0002284,1000,random3.txt,Rust,0.0001303941,1000,random3.txt,75.16129947597324
C,0.0002284,1000,random3.txt,Python,0.0017585754,1000,random3.txt,-87.01221454593305
C,0.0028538,10000,random3.txt,Rust,0.0015670049,10000,random3.txt,82.11812866698759
C,0.0028538,10000,random3.txt,Python,0.0222806215,10000,random3.txt,-87.19156016361572
C,0.0347702,100000,random3.txt,Rust,0.017555721,100000,random3.txt,98.05623477383813
C,0.0347702,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-85.78430988293015
C,0.1701557,500000,random3.txt,Rust,0.0973473056,500000,random3.txt,74.79240843004902
C,0.1701557,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-88.46673503576267
C,0.3357925,1000000,random3.txt,Rust,0.1853398479,1000000,random3.txt,81.17663514063993
C,0.3357925,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-89.08215771643549
C++,3.01009e-05,100,random3.txt,Rust,1.49098e-05,100,random3.txt,101.88667856040992
C++,3.01009e-05,100,random3.txt,Python,0.0001458645,100,random3.txt,-79.36379310935835
C++,3.01009e-05,100,random3.txt,C,1.95e-05,100,random3.txt,54.363589743589735
C++,0.0003284299,1000,random3.txt,Rust,0.0001303941,1000,random3.txt,151.8748164219087
C++,0.0003284299,1000,random3.txt,Python,0.0017585754,1000,random3.txt,-81.32409335420022
C++,0.0003284299,1000,random3.txt,C,0.0002284,1000,random3.txt,43.79592819614712
C++,0.0039332975,10000,random3.txt,Rust,0.0015670049,10000,random3.txt,151.00735166814093
C++,0.0039332975,10000,random3.txt,Python,0.0222806215,10000,random3.txt,-82.34655393252831
C++,0.0039332975,10000,random3.txt,C,0.0028538,10000,random3.txt,37.826669703553165
C++,0.043881065,100000,random3.txt,Rust,0.017555721,100000,random3.txt,149.9530779738411
C++,0.043881065,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-82.05936054302248
C++,0.043881065,100000,random3.txt,C,0.0347702,100000,random3.txt,26.203084825511485
C++,0.2480068554,500000,random3.txt,Rust,0.0973473056,500000,random3.txt,154.76499207801393
C++,0.2480068554,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-83.18993265417795
C++,0.2480068554,500000,random3.txt,C,0.1701557,500000,random3.txt,45.752893026798404
C++,0.5003887861,1000000,random3.txt,Rust,0.1853398479,1000000,random3.txt,169.9844592351152
C++,0.5003887861,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-83.7305304701442
C++,0.5003887861,1000000,random3.txt,C,0.3357925,1000000,random3.txt,49.01726098706792
C#,0.03718696,100,random3.txt,Rust,1.49098e-05,100,random3.txt,249312.86938791937
C#,0.03718696,100,random3.txt,Python,0.0001458645,100,random3.txt,25394.181243551375
C#,0.03718696,100,random3.txt,Java,0.0013585701,100,random3.txt,2637.213192017107
C#,0.0387723,1000,random3.txt,Rust,0.0001303941,1000,random3.txt,29634.704254256907
C#,0.0387723,1000,random3.txt,Python,0.0017585754,1000,random3.txt,2104.7561907211943
C#,0.0387723,1000,random3.txt,Java,0.004269861,1000,random3.txt,808.0459527839432
C#,0.04286486,10000,random3.txt,Rust,0.0015670049,10000,random3.txt,2635.4643243298087
C#,0.04286486,10000,random3.txt,Python,0.0222806215,10000,random3.txt,92.38628509532374
C#,0.04286486,10000,random3.txt,Java,0.0199418136,10000,random3.txt,114.9496573370839
C#,0.11354604,100000,random3.txt,Rust,0.017555721,100000,random3.txt,546.7751452646121
C#,0.11354604,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-53.577048200458464
C#,0.11354604,100000,random3.txt,Java,0.1539298265,100000,random3.txt,-26.235192631754185
C#,0.34553705,500000,random3.txt,Rust,0.0973473056,500000,random3.txt,254.95286476629508
C#,0.34553705,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-76.57927208661877
C#,0.34553705,500000,random3.txt,Java,0.4568994433,500000,random3.txt,-24.373501638713854
C#,0.64514591,1000000,random3.txt,Rust,0.1853398479,1000000,random3.txt,248.0880756674021
C#,0.64514591,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-79.02394694560864
C#,0.64514591,1000000,random3.txt,Java,0.9071449892,1000000,random3.txt,-28.881720377583054
Rust,1.49098e-05,100,random3.txt,Python,0.0001458645,100,random3.txt,-89.77832166154207
Rust,0.0001303941,1000,random3.txt,Python,0.0017585754,1000,random3.txt,-92.58524257760003
Rust,0.0015670049,10000,random3.txt,Python,0.0222806215,10000,random3.txt,-92.96696054910318
Rust,0.017555721,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-92.82239706651858
Rust,0.0973473056,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-93.40173576883181
Rust,0.1853398479,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-93.97392369325689
Java,0.0013585701,100,random3.txt,Rust,1.49098e-05,100,random3.txt,9011.927054688862
Java,0.0013585701,100,random3.txt,Python,0.0001458645,100,random3.txt,831.3918739652211
Java,0.004269861,1000,random3.txt,Rust,0.0001303941,1000,random3.txt,3174.5814419517446
Java,0.004269861,1000,random3.txt,Python,0.0017585754,1000,random3.txt,142.802270519649
Java,0.0199418136,10000,random3.txt,Rust,0.0015670049,10000,random3.txt,1172.6069714268285
Java,0.0199418136,10000,random3.txt,Python,0.0222806215,10000,random3.txt,-10.497049644687873
Java,0.1539298265,100000,random3.txt,Rust,0.017555721,100000,random3.txt,776.8072043295745
Java,0.1539298265,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-37.066260381064005
Java,0.4568994433,500000,random3.txt,Rust,0.0973473056,500000,random3.txt,369.3498607731368
Java,0.4568994433,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-69.03105601756843
Java,0.9071449892,1000000,random3.txt,Rust,0.1853398479,1000000,random3.txt,389.4495163767748
Java,0.9071449892,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-70.50539866015045
JavaScript,0.0004428443,100,random3.txt,Rust,1.49098e-05,100,random3.txt,2870.155870635421
JavaScript,0.0004428443,100,random3.txt,Python,0.0001458645,100,random3.txt,203.59977924717802
JavaScript,0.0004428443,100,random3.txt,Java,0.0013585701,100,random3.txt,-67.40364740840388
JavaScript,0.0019979724,1000,random3.txt,Rust,0.0001303941,1000,random3.txt,1432.2567508805996
JavaScript,0.0019979724,1000,random3.txt,Python,0.0017585754,1000,random3.txt,13.61312116614391
JavaScript,0.0019979724,1000,random3.txt,Java,0.004269861,1000,random3.txt,-53.20755406323532
JavaScript,0.0446706072,10000,random3.txt,Rust,0.0015670049,10000,random3.txt,2750.6999052778965
JavaScript,0.0446706072,10000,random3.txt,Python,0.0222806215,10000,random3.txt,100.49084896487288
JavaScript,0.0446706072,10000,random3.txt,Java,0.0199418136,10000,random3.txt,124.00473746279523
JavaScript,0.050661113,100000,random3.txt,Rust,0.017555721,100000,random3.txt,188.57324059775158
JavaScript,0.050661113,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-79.28735861761336
JavaScript,0.050661113,100000,random3.txt,Java,0.1539298265,100000,random3.txt,-67.08817637756513
JavaScript,0.2175530435,500000,random3.txt,Rust,0.0973473056,500000,random3.txt,123.48131995961475
JavaScript,0.2175530435,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-85.25411200176222
JavaScript,0.2175530435,500000,random3.txt,Java,0.4568994433,500000,random3.txt,-52.38491823743485
JavaScript,0.4326359418,1000000,random3.txt,Rust,0.1853398479,1000000,random3.txt,133.4284541084918
JavaScript,0.4326359418,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-85.93342323377145
JavaScript,0.4326359418,1000000,random3.txt,Java,0.9071449892,1000000,random3.txt,-52.30796102599472
PHP,9.05752e-05,100,random3.txt,Rust,1.49098e-05,100,random3.txt,507.48769265851985
PHP,9.05752e-05,100,random3.txt,Python,0.0001458645,100,random3.txt,-37.90456211072605
PHP,0.0009664536,1000,random3.txt,Rust,0.0001303941,1000,random3.txt,641.178933709424
PHP,0.0009664536,1000,random3.txt,Python,0.0017585754,1000,random3.txt,-45.043379999515516
PHP,0.0113062859,10000,random3.txt,Rust,0.0015670049,10000,random3.txt,621.5220513988183
PHP,0.0113062859,10000,random3.txt,Python,0.0222806215,10000,random3.txt,-49.255069478201044
PHP,0.1268861771,100000,random3.txt,Rust,0.017555721,100000,random3.txt,622.7625518769637
PHP,0.1268861771,100000,random3.txt,Python,0.2445903063,100000,random3.txt,-48.12297387437386
PHP,0.7485224724,500000,random3.txt,Rust,0.0973473056,500000,random3.txt,668.9195584679849
PHP,0.7485224724,500000,random3.txt,Python,1.4753471851,500000,random3.txt,-49.26465580715059
PHP,1.4975292682,1000000,random3.txt,Rust,0.1853398479,1000000,random3.txt,707.9909879973524
PHP,1.4975292682,1000000,random3.txt,Python,3.0756306171,1000000,random3.txt,-51.309846511671985
C,1.34e-05,100,ascending.txt,Rust,8.192e-06,100,ascending.txt,63.57421875
C,1.34e-05,100,ascending.txt,Python,0.0001327753,100,ascending.txt,-89.9077614586448
C,0.0001486,1000,ascending.txt,Rust,5.75393e-05,1000,ascending.txt,158.25826869635188
C,0.0001486,1000,ascending.txt,Python,0.0015107632,1000,ascending.txt,-90.16391185594142
C,0.0016168,10000,ascending.txt,Rust,0.0006088424,10000,ascending.txt,165.5531217930946
C,0.0016168,10000,ascending.txt,Python,0.0180231333,10000,ascending.txt,-91.02930676321414
